Région,Département,cp_ville,Gazole_prix,SP95_prix,E85_prix,GPLc_prix,E10_prix,SP98_prix,geom
Occitanie,Haute-Garonne,31700 Beauzelle,1.929,,0.998,,1.909,1.999,"43.668, 1.365"
Centre-Val de Loire,Loiret,45270 Ladon,,,,,,,"48.001, 2.517"
Bourgogne-Franche-Comté,Doubs,25600 Sochaux,1.918,1.966,0.998,,1.93,,"47.5142424, 6.8348903000000005"
Auvergne-Rhône-Alpes,Savoie,73420 Viviers-du-Lac,1.937,,,,1.837,1.912,"45.6473617151, 5.8939178300199995"
Normandie,Eure,27700 Les Andelys,1.96,,0.999,,1.949,1.999,"49.24865, 1.43769"
Nouvelle-Aquitaine,Dordogne,24210 Thenon,1.918,,,,1.909,1.96,"45.142, 1.069"
Occitanie,Tarn-et-Garonne,82000 Montauban,1.889,,0.968,0.959,1.808,1.903,"44.003, 1.355"
Occitanie,Haute-Garonne,31570 Lanta,1.999,1.999,,,1.999,,"43.56136, 1.65919"
Centre-Val de Loire,Indre-et-Loire,37260 Artannes-sur-Indre,1.96,1.967,,,,1.989,"47.270578774835, 0.59254978394482"
Pays de la Loire,Loire-Atlantique,44300 Nantes,1.99,1.99,,,,1.99,"47.23769, -1.53264"
Nouvelle-Aquitaine,Landes,40500 Saint-Sever,1.959,1.962,,,,1.999,"43.749, -0.564"
Grand Est,Vosges,88200 Remiremont,1.919,,,0.959,1.929,1.999,"48.004, 6.613"
Bretagne,Morbihan,56700 Hennebont,2.081,,,,2.058,2.101,"47.804, -3.27"
Provence-Alpes-Côte d'Azur,Vaucluse,84700 Sorgues,1.938,,,,1.922,1.99,"44.027, 4.874"
Nouvelle-Aquitaine,Haute-Vienne,87150 Cussac,1.869,1.909,,,1.869,1.939,"45.70874, 0.83863"
Nouvelle-Aquitaine,Creuse,23320 Saint-Vaury,1.929,1.999,,,1.959,,"46.2, 1.76"
Normandie,Manche,50550 Saint-Vaast-la-Hougue,1.967,,,,1.881,1.935,"49.589, -1.28"
Bourgogne-Franche-Comté,Côte-d'Or,21400 Châtillon-sur-Seine,1.969,1.999,,,,2.049,"47.871, 4.57"
Hauts-de-France,Oise,60230 Chambly,1.928,,,0.924,1.877,1.962,"49.188, 2.235"
Hauts-de-France,Pas-de-Calais,62630 Étaples,1.957,1.967,,,,1.989,"50.5165, 1.64375"
Bourgogne-Franche-Comté,Doubs,25410 Saint-Vit,1.899,1.949,,,1.899,,"47.187, 5.825"
Provence-Alpes-Côte d'Azur,Alpes-Maritimes,6400 Cannes,1.99,,,,1.99,1.99,"43.5553, 7.02483"
Bourgogne-Franche-Comté,Côte-d'Or,21320 Créancey,1.999,,,,2.039,2.119,"47.247064, 4.566212"
Auvergne-Rhône-Alpes,Drôme,26790 Tulette,1.949,1.956,,,1.899,1.974,"44.28, 4.922"
Bourgogne-Franche-Comté,Doubs,25800 Valdahon,1.915,,,,1.875,1.945,"47.148, 6.331"
Occitanie,Tarn,81100 Castres,1.883,,0.975,,1.849,1.951,"43.622, 2.215"
Grand Est,Meurthe-et-Moselle,54700 Loisy,2.003,,,1.068,2.001,2.076,"48.860588172143, 6.091693528860801"
Occitanie,Ariège,9100 Pamiers,1.93,1.92,0.998,,1.87,,"43.103, 1.631"
Grand Est,Moselle,57120 Rombas,1.99,,,,1.985,1.99,"49.236, 6.109"
Nouvelle-Aquitaine,Pyrénées-Atlantiques,64500 Saint-Jean-de-Luz,1.99,1.99,,,,,"43.39172, -1.65483"
Normandie,Eure,27250 Rugles,1.949,,0.999,,1.889,1.949,"48.818, 0.7"
Auvergne-Rhône-Alpes,Ain,1440 Viriat,1.99,,,,1.99,1.99,"46.236, 5.263"
Pays de la Loire,Mayenne,53400 Craon,1.99,,,,1.958,1.99,"47.844, -0.969"
Auvergne-Rhône-Alpes,Puy-de-Dôme,63780 Saint-Georges-de-Mons,1.849,,0.998,,1.843,1.944,"45.939570999999994, 2.837118"
Auvergne-Rhône-Alpes,Isère,38660 Le Touvet,2.019,,1.11,,2.019,2.059,"45.349, 5.946"
Bretagne,Côtes-d'Armor,22630 Évran,1.919,1.959,,,,,"48.37711932, -1.9751948000000001"
Auvergne-Rhône-Alpes,Savoie,73110 Valgelon-La Rochette,1.952,,,,1.999,2.042,"45.456, 6.112"
Grand Est,Bas-Rhin,67620 Soufflenheim,1.99,1.99,,,,,"48.82224, 7.96612"
Auvergne-Rhône-Alpes,Savoie,73290 La Motte-Servolex,1.886,,1.016,,1.828,1.907,"45.60217, 5.87546"
Centre-Val de Loire,Indre,36100 Issoudun,1.92,1.94,,,,1.969,"46.9421, 1.98786"
Grand Est,Meurthe-et-Moselle,54200 Dommartin-lès-Toul,1.905,1.815,0.98,,1.79,1.901,"48.674, 5.925"
Nouvelle-Aquitaine,Lot-et-Garonne,47180 Sainte-Bazeille,1.929,,0.999,,1.849,1.939,"44.527375385336, 0.10253260719062"
Hauts-de-France,Nord,59210 Coudekerque-Branche,1.925,1.929,,,,1.989,"51.03376, 2.40223"
Hauts-de-France,Pas-de-Calais,62100 Coquelles,1.99,,1.079,,1.943,1.99,"50.9340083071, 1.8175652035499998"
Nouvelle-Aquitaine,Gironde,33680 Le Porge,1.965,,,,1.874,1.949,"44.8753, -1.08692"
Hauts-de-France,Nord,59161 Escaudœuvres,1.935,,,0.92,1.885,1.96,"50.185, 3.254"
Hauts-de-France,Nord,59279 Loon-Plage,1.919,,1.099,,1.939,1.999,"50.99501, 2.2187299795598"
Nouvelle-Aquitaine,Charente-Maritime,17320 Marennes-Hiers-Brouage,1.877,1.851,0.949,,,1.888,"45.83164173, -1.1235933"
Auvergne-Rhône-Alpes,Loire,42640 Saint-Germain-Lespinasse,1.99,1.99,,,,,"46.103, 3.967"
Auvergne-Rhône-Alpes,Savoie,73200 Albertville,1.936,,,,1.899,1.99,"45.661, 6.382"
Occitanie,Aveyron,12000 Rodez,1.999,,,,1.999,2.064,"44.362, 2.567"
Bretagne,Ille-et-Vilaine,35500 Vitré,1.899,,0.986,,1.832,1.923,"48.114, -1.208"
Provence-Alpes-Côte d'Azur,Vaucluse,84600 Valréas,1.875,,0.963,0.963,1.833,1.915,"44.386, 5.007"
Île-de-France,Yvelines,78700 Conflans-Sainte-Honorine,1.955,,,,1.921,2.003,"49.011, 2.097"
Normandie,Manche,50400 Granville,1.99,,,,1.982,1.99,"48.841, -1.577"
Grand Est,Bas-Rhin,67190 Mutzig,1.932,,,,1.921,1.998,"48.5364966, 7.447671700000001"
Occitanie,Gers,32000 Auch,1.873,,,,1.836,1.916,"43.631, 0.582"
Hauts-de-France,Oise,60300 Senlis,1.99,,0.994,,1.979,,"49.20834539496099, 2.6023127084038"
Pays de la Loire,Mayenne,53500 Ernée,1.912,1.919,1.019,0.949,,1.966,"48.29, -0.928"
Pays de la Loire,Loire-Atlantique,44190 Gétigné,1.87,1.889,,,1.85,1.941,"47.084, -1.263"
Provence-Alpes-Côte d'Azur,Var,83170 Brignoles,1.861,1.887,,,1.796,1.907,"43.407, 6.05"
Occitanie,Tarn,81990 Le Sequestre,1.944,,,,,,"43.917, 2.114"
Auvergne-Rhône-Alpes,Cantal,15190 Condat,1.999,2.009,,,,2.059,"45.33928, 2.76682"
Bourgogne-Franche-Comté,Côte-d'Or,21360 Bligny-sur-Ouche,2.109,,,1.054,2.059,2.159,"47.11270104676, 4.7123566202522"
Pays de la Loire,Maine-et-Loire,49700 Doué-en-Anjou,1.929,,0.998,,1.899,1.969,"47.196, -0.265"
Normandie,Calvados,14130 Saint-Gatien-des-Bois,1.99,,0.994,,1.946,1.99,"49.369788938573, 0.20111980321583"
Auvergne-Rhône-Alpes,Puy-de-Dôme,63210 Rochefort-Montagne,1.969,1.949,1.029,,,,"45.685, 2.796"
Corse,Corse-du-Sud,20137 Porto-Vecchio,1.98,1.99,,,,,"41.578442439722, 9.2746932854278"
Île-de-France,Val-de-Marne,94100 Saint-Maur-des-Fossés,1.992,,,,1.944,2.024,"48.802, 2.487"
Auvergne-Rhône-Alpes,Puy-de-Dôme,63360 Gerzat,1.919,,,,1.879,1.969,"45.82, 3.15"
Occitanie,Pyrénées-Orientales,66820 Corneilla-de-Conflent,1.899,,,,1.939,1.999,"42.557, 2.384"
Pays de la Loire,Loire-Atlantique,44220 Couëron,1.932,1.975,,,1.905,,"47.21363, -1.72222"
Bourgogne-Franche-Comté,Saône-et-Loire,71110 Baugy,2.017,2.094,,,,2.134,"46.289, 4.041"
Nouvelle-Aquitaine,Landes,40000 Mont-de-Marsan,1.909,1.872,0.983,0.989,1.824,,"43.87771, -0.46152"
Auvergne-Rhône-Alpes,Haute-Savoie,74800 Amancy,1.979,,0.998,,1.919,1.999,"46.07162, 6.32623"
Provence-Alpes-Côte d'Azur,Alpes-Maritimes,6400 Cannes,1.949,,,,1.899,2.019,"43.552325942827, 7.0057691447831"
Bretagne,Côtes-d'Armor,22260 Pontrieux,1.96,1.893,,,1.877,,"48.69621, -3.16593"
Provence-Alpes-Côte d'Azur,Vaucluse,84300 Cavaillon,1.914,,0.998,,1.879,1.948,"43.829, 5.035"
Auvergne-Rhône-Alpes,Cantal,15200 Mauriac,1.925,,,,1.919,1.999,"45.222, 2.34"
Île-de-France,Hauts-de-Seine,92260 Fontenay-aux-Roses,1.983,,1.099,,1.948,2.028,"48.793, 2.29"
Auvergne-Rhône-Alpes,Isère,38100 Grenoble,1.99,,1.179,,1.99,1.99,"45.183, 5.725"
Grand Est,Vosges,88400 Gérardmer,1.949,,,0.934,1.892,1.967,"48.075, 6.884"
Île-de-France,Hauts-de-Seine,92410 Ville-d'Avray,1.981,,,,1.969,2.049,"48.819, 2.168"
Île-de-France,Seine-Saint-Denis,93150 Le Blanc-Mesnil,1.959,,1.089,,1.916,1.996,"48.948, 2.438"
Île-de-France,Seine-Saint-Denis,93150 Le Blanc-Mesnil,2.099,,,1.089,2.039,2.159,"48.92779230000001, 2.4739954"
Nouvelle-Aquitaine,Gironde,33540 Sauveterre-de-Guyenne,1.939,,0.999,0.999,1.889,1.979,"44.698, -0.089"
Centre-Val de Loire,Loiret,45230 Châtillon-Coligny,1.919,,1.019,,1.909,2.042,"47.835, 2.84"
Bourgogne-Franche-Comté,Saône-et-Loire,71400 Autun,1.919,,1.049,,1.877,1.949,"46.956, 4.295"
Occitanie,Haute-Garonne,31470 Fonsorbes,1.884,,0.999,1.049,1.899,1.964,"43.536, 1.231"
Île-de-France,Paris,75015 Paris,1.99,,,,,1.99,"48.852, 2.29"
Hauts-de-France,Aisne,2100 Saint-Quentin,1.932,,0.994,,1.904,1.99,"49.848, 3.272"
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13180 Le Rove,2.129,,1.099,1.149,2.099,2.229,"43.392295526141005, 5.2569421627957"
Bourgogne-Franche-Comté,Saône-et-Loire,71700 Tournus,1.899,,,,1.899,1.999,"46.573, 4.904"
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13100 Aix-en-Provence,1.939,,1.139,,1.959,,"43.516, 5.463"
Auvergne-Rhône-Alpes,Loire,42570 Saint-Héand,1.888,1.879,,,1.839,,"45.536, 4.373"
Auvergne-Rhône-Alpes,Isère,38150 Roussillon,1.869,,,,1.935,1.989,"45.3733438, 4.8122397999999995"
Auvergne-Rhône-Alpes,Savoie,73000 Chambéry,1.97,2.116,,,,,"45.589, 5.89"
Auvergne-Rhône-Alpes,Cantal,15100 Andelat,1.899,1.917,1.025,0.894,1.889,1.999,"45.038, 3.065"
Hauts-de-France,Somme,80250 Ailly-sur-Noye,1.924,,0.998,,1.885,1.93,"49.750488813391, 2.359071858947"
Hauts-de-France,Nord,59491 Villeneuve-d'Ascq,1.922,,0.994,,1.912,1.983,"50.6648, 3.14041"
Hauts-de-France,Nord,59265 Aubigny-au-Bac,1.93,,,,1.908,1.989,"50.266250327214, 3.1595537708461"
Auvergne-Rhône-Alpes,Allier,3200 Vichy,1.909,,,,1.939,2.029,"46.143, 3.415"
Nouvelle-Aquitaine,Corrèze,19200 Ussel,1.91,,,,1.89,1.955,"45.556389740201, 2.3152420027136"
Hauts-de-France,Somme,80700 Roye,2.019,,,,,2.029,"49.7052849, 2.7660522999999997"
Pays de la Loire,Mayenne,53000 Laval,1.99,,0.994,,1.955,1.99,"48.079, -0.753"
Hauts-de-France,Nord,59630 Bourbourg,1.919,1.93,1.049,,,,"50.93921, 2.19998"
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13115 Saint-Paul-lès-Durance,1.99,1.99,,,,2.251,"43.686, 5.713"
Île-de-France,Val-de-Marne,94400 Vitry-sur-Seine,,,1.099,,1.901,,"48.79281, 2.3905"
Auvergne-Rhône-Alpes,Rhône,69110 Sainte-Foy-lès-Lyon,1.899,,,,1.949,1.969,"45.742, 4.798"
Occitanie,Lot,46200 Souillac,1.99,,0.994,,1.99,1.99,"44.899, 1.477"
Auvergne-Rhône-Alpes,Ain,1120 Dagneux,2.11,,,,2.092,2.212,"45.845, 5.07"
Pays de la Loire,Vendée,85490 Benet,1.912,1.862,,,,1.889,"46.37, -0.594"
Occitanie,Hautes-Pyrénées,65240 Arreau,1.959,1.999,,,,2.029,"42.899225885300005, 0.353642473678"
Normandie,Orne,61100 Flers,1.878,1.855,0.976,0.915,1.819,,"48.742, -0.563"
Nouvelle-Aquitaine,Creuse,23500 Felletin,1.909,1.939,,,,1.999,"45.888, 2.176"
Occitanie,Hérault,34320 Roujan,1.95,,1.049,,1.899,2.029,"43.501, 3.32"
Occitanie,Gard,30100 Alès,1.969,,1.019,,1.909,2.049,"44.132304967889006, 4.0740647782629"
Nouvelle-Aquitaine,Haute-Vienne,87100 Limoges,1.979,,,,1.929,2.029,"45.84, 1.258"
Hauts-de-France,Pas-de-Calais,62490 Vitry-en-Artois,1.891,,,,1.876,1.955,"50.333, 3.002"
Bourgogne-Franche-Comté,Jura,39260 Moirans-en-Montagne,1.939,1.929,,,1.889,,"46.439, 5.721"
Normandie,Manche,50250 La Haye,1.935,1.949,,,1.919,,"49.284, -1.567"
Occitanie,Tarn-et-Garonne,82110 Lauzerte,1.909,,0.998,,1.899,1.989,"44.261, 1.145"
Île-de-France,Hauts-de-Seine,92230 Gennevilliers,1.964,,1.089,,1.929,1.99,"48.932, 2.29"
Provence-Alpes-Côte d'Azur,Vaucluse,84100 Orange,1.99,,0.994,,1.967,1.99,"44.13559, 4.81309"
Normandie,Calvados,14400 Bayeux,1.891,,0.976,0.869,1.856,1.943,"49.277, -0.719"
Provence-Alpes-Côte d'Azur,Alpes-Maritimes,6190 Roquebrune-Cap-Martin,1.989,,,,1.989,2.089,"43.762348422213, 7.457574677783099"
Auvergne-Rhône-Alpes,Ain,1470 Briord,1.939,,,,1.859,1.959,"45.78776, 5.45414"
Centre-Val de Loire,Indre,36400 La Châtre,1.913,1.936,0.998,0.939,1.865,1.978,"46.582, 2.001"
Bourgogne-Franche-Comté,Côte-d'Or,21910 Noiron-sous-Gevrey,1.979,2.049,1.049,,,2.089,"47.195, 5.083"
Bretagne,Finistère,29250 Saint-Pol-de-Léon,1.899,1.939,1.029,,,1.999,"48.6876564083, -3.98867020449"
Normandie,Seine-Maritime,76400 Fécamp,1.873,1.867,0.978,,1.828,1.903,"49.74544, 0.37202"
Île-de-France,Seine-et-Marne,77680 Roissy-en-Brie,1.977,1.978,,,1.937,1.999,"48.79, 2.642"
Bourgogne-Franche-Comté,Doubs,25000 Besançon,,,,,,,"47.244, 5.984"
Grand Est,Haut-Rhin,68040 Ingersheim,1.99,,,,1.954,1.99,"48.08936, 7.3187"
Auvergne-Rhône-Alpes,Ardèche,7100 Annonay,1.989,1.99,,,,1.99,"45.235, 4.672"
Île-de-France,Essonne,91380 Chilly-Mazarin,2.099,,,,2.019,2.139,"48.699, 2.303"
Provence-Alpes-Côte d'Azur,Var,83820 Rayol-Canadel-sur-Mer,1.94,1.94,,,,1.99,"43.159, 6.483"
Provence-Alpes-Côte d'Azur,Hautes-Alpes,5300 Laragne-Montéglin,1.919,,,,1.969,1.999,"44.312, 5.831"
Bourgogne-Franche-Comté,Jura,39300 Champagnole,1.899,1.869,,,1.839,,"46.749, 5.906"
Bourgogne-Franche-Comté,Côte-d'Or,21190 Merceuil,1.99,,1.259,1.054,1.99,1.99,"46.95888, 4.83532"
Auvergne-Rhône-Alpes,Rhône,69530 Brignais,1.944,1.949,,,,1.979,"45.668, 4.754"
Occitanie,Hérault,34520 Le Caylar,1.99,,1.259,,1.99,1.99,"43.86449, 3.31188"
Île-de-France,Seine-Saint-Denis,93270 Sevran,2.139,,,,2.149,2.269,"48.936, 2.515"
Nouvelle-Aquitaine,Landes,40160 Parentis-en-Born,1.969,1.979,,,1.939,2.029,"44.353, -1.08"
Île-de-France,Hauts-de-Seine,92000 Nanterre,1.99,,1.139,1.024,1.99,1.99,"48.888494749100005, 2.19358"
Normandie,Seine-Maritime,76600 Le Havre,,,1.009,,1.867,1.969,"49.48837, 0.1502"
Bourgogne-Franche-Comté,Côte-d'Or,21250 Seurre,1.969,1.999,,,,2.049,"47.004, 5.15"
Nouvelle-Aquitaine,Haute-Vienne,87410 Le Palais-sur-Vienne,,,,,,,"45.872758900785996, 1.3113452232787002"
Pays de la Loire,Loire-Atlantique,44350 Guérande,1.99,,,,1.96,1.99,"47.322, -2.424"
Pays de la Loire,Maine-et-Loire,49070 Saint-Léger-de-Linières,1.87,1.884,,,,1.932,"47.466, -0.674"
Provence-Alpes-Côte d'Azur,Var,83400 Hyères,2.079,,,,2.069,2.189,"43.12133, 6.13816"
Auvergne-Rhône-Alpes,Ardèche,7200 Saint-Didier-sous-Aubenas,1.969,,1.279,,1.919,,"44.612, 4.409"
Île-de-France,Seine-Saint-Denis,93290 Tremblay-en-France,,,1.099,,,,"48.96372, 2.56421"
Normandie,Manche,50000 Saint-Lô,1.969,,,,1.939,,"49.112, -1.051"
Centre-Val de Loire,Indre,36230 Neuvy-Saint-Sépulchre,1.999,2.039,,,,2.079,"46.59909, 1.77655"
Île-de-France,Paris,75012 Paris,1.99,,,,1.99,1.99,"48.83905, 2.38906"
Nouvelle-Aquitaine,Dordogne,24380 Vergt,1.934,,0.998,,1.869,1.969,"45.023, 0.711"
Centre-Val de Loire,Loiret,45300 Pithiviers,1.967,,,,1.99,1.99,"48.184, 2.251"
Île-de-France,Paris,75020 Paris,,,,,,,"48.868, 2.406"
Bourgogne-Franche-Comté,Doubs,25200 Courcelles-lès-Montbéliard,1.909,,0.999,,1.839,1.929,"47.509, 6.779"
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13300 Salon-de-Provence,1.892,,0.998,,1.815,1.929,"43.634, 5.091"
Provence-Alpes-Côte d'Azur,Alpes-Maritimes,6500 Menton,1.999,2.06,0.998,,,2.084,"43.78, 7.482"
Corse,Corse-du-Sud,20100 Sartène,1.99,1.99,,,,,"41.619, 8.968"
Provence-Alpes-Côte d'Azur,Hautes-Alpes,5000 Gap,1.882,,,,1.876,1.953,"44.567, 6.102"
Hauts-de-France,Nord,59860 Bruay-sur-l'Escaut,1.949,,1.039,,1.879,1.959,"50.399, 3.544"
Île-de-France,Seine-et-Marne,77720 Mormant,1.969,1.979,,,1.929,,"48.6084, 2.89009"
Normandie,Eure,27000 Évreux,1.892,,,0.995,1.915,1.992,"49.022, 1.136"
Grand Est,Bas-Rhin,67470 Seltz,1.949,,,,1.859,1.962,"48.89483, 8.08632"
Île-de-France,Essonne,91380 Chilly-Mazarin,2.079,,,,2.049,2.149,"48.713, 2.298"
Occitanie,Haute-Garonne,31590 Verfeil,1.99,,,,1.99,1.99,"43.658256363185004, 1.667170244315"
Île-de-France,Val-de-Marne,94651 Thiais,2.099,,1.069,1.089,2.039,2.159,"48.755, 2.375"
Occitanie,Gard,30210 Fournès,1.929,1.997,2.098,,,,"43.939783826931, 4.6000002464762"
Normandie,Seine-Maritime,76730 Bacqueville-en-Caux,1.939,1.959,,,,1.989,"49.79, 0.998"
Normandie,Manche,50600 Saint-Hilaire-du-Harcouët,1.97,1.98,,,,1.98,"48.576, -1.088"
Île-de-France,Val-de-Marne,94150 Rungis,1.954,,,,1.904,1.977,"48.749, 2.356"
Auvergne-Rhône-Alpes,Rhône,69380 Chazay-d'Azergues,1.909,,,,1.849,1.949,"45.869, 4.7"
Occitanie,Haute-Garonne,31140 Saint-Alban,1.95,1.99,1.18,,,,"43.708, 1.397"
Hauts-de-France,Pas-de-Calais,62730 Marck,1.949,1.979,,,,1.999,"50.946, 1.952"
Centre-Val de Loire,Loir-et-Cher,41260 La Chaussée-Saint-Victor,1.939,,,,1.899,1.999,"47.605, 1.351"
Île-de-France,Essonne,91080 Évry-Courcouronnes,2.139,,,,2.109,2.229,"48.631, 2.417"
Bourgogne-Franche-Comté,Saône-et-Loire,71130 Gueugnon,1.939,1.939,,,1.899,1.979,"46.604, 4.071"
Hauts-de-France,Nord,59310 Orchies,1.877,,0.979,,1.817,,"50.47073, 3.24699"
Occitanie,Haute-Garonne,31450 Belberaud,1.859,,0.999,,1.849,1.999,"43.5065271232, 1.5558732657999998"
Hauts-de-France,Nord,59190 Caëstre,1.989,,,,2.09,2.15,"50.75828644510899, 2.6023815969871"
Auvergne-Rhône-Alpes,Rhône,69170 Tarare,1.905,,1.099,,1.859,1.952,"45.891, 4.446"
Occitanie,Lot,46300 Gourdon,1.929,,,,1.955,1.999,"44.739, 1.389"
Corse,Corse-du-Sud,20166 Grosseto-Prugna,1.959,1.959,,,,,"41.887, 8.808"
Provence-Alpes-Côte d'Azur,Alpes-Maritimes,6300 Nice,2.065,2.136,,,2.112,2.153,"43.702, 7.294"
Nouvelle-Aquitaine,Charente-Maritime,17610 Chaniers,,,,,,,"45.745, -0.562"
Normandie,Calvados,14780 Lion-sur-Mer,1.959,1.978,,,,1.997,"49.30174, -0.31818"
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13140 Miramas,1.915,,0.998,,1.899,1.969,"43.6, 5.003"
Centre-Val de Loire,Loir-et-Cher,41500 Mer,1.895,1.949,1.039,,,1.979,"47.697, 1.501"
Nouvelle-Aquitaine,Pyrénées-Atlantiques,64800 Igon,1.96,1.97,,,,,"43.157, -0.23"
Normandie,Eure,27200 Vernon,1.878,,0.982,,1.824,1.93,"49.095, 1.466"
Auvergne-Rhône-Alpes,Puy-de-Dôme,63120 Courpière,1.929,2.009,,,,2.049,"45.749, 3.545"
Normandie,Eure,27210 Beuzeville,1.963,,0.998,,1.879,1.968,"49.33721, 0.35245"
Bourgogne-Franche-Comté,Côte-d'Or,21640 Gilly-lès-Cîteaux,1.999,2.049,1.049,,,,"47.179, 4.966"
Occitanie,Gard,30129 Manduel,1.949,1.959,,,,1.989,"43.821, 4.469"
Bretagne,Finistère,29200 Brest,1.919,1.919,,,,1.989,"48.4075684317, -4.49567358546"
Pays de la Loire,Loire-Atlantique,44640 Le Pellerin,1.92,,,,1.889,1.989,"47.198, -1.758"
Occitanie,Gard,30400 Villeneuve-lès-Avignon,1.998,,,,1.979,2.079,"43.958, 4.779"
Grand Est,Bas-Rhin,67120 Duppigheim,1.97,,1.21,,1.98,1.99,"48.52668, 7.59899"
Provence-Alpes-Côte d'Azur,Var,83350 Ramatuelle,1.983,,1.089,,1.99,1.99,"43.214, 6.645"
Normandie,Eure,27140 Gisors,1.929,,0.999,1.199,1.899,1.977,"49.276, 1.762"
Bourgogne-Franche-Comté,Haute-Saône,70700 Bucey-lès-Gy,1.925,,,,,2.04,"47.424, 5.839"
Auvergne-Rhône-Alpes,Haute-Savoie,74540 Saint-Félix,1.989,1.989,,,,,"45.802, 5.974"
Occitanie,Gard,30620 Bernis,1.999,,,,1.999,2.049,"43.76675, 4.28181"
Occitanie,Pyrénées-Orientales,66600 Rivesaltes,1.905,,0.994,,1.862,1.977,"42.78, 2.899"
Auvergne-Rhône-Alpes,Drôme,26260 Saint-Donat-sur-l'Herbasse,1.919,,1.089,,1.929,1.999,"45.119, 4.972"
Bretagne,Ille-et-Vilaine,35800 Dinard,2.05,2.09,,,,,"48.615, -2.07"
Île-de-France,Val-d'Oise,95100 Argenteuil,1.954,,0.994,,1.897,1.977,"48.94889, 2.20959"
Occitanie,Lozère,48100 Marvejols,1.899,,1.049,,1.929,,"44.552, 3.293"
Pays de la Loire,Loire-Atlantique,44200 Nantes,1.899,1.919,,,,1.979,"47.194, -1.53"
Pays de la Loire,Maine-et-Loire,49490 Noyant-Villages,1.899,,,,1.889,1.969,"47.511, 0.113"
Pays de la Loire,Loire-Atlantique,44170 Nozay,2.049,2.069,,,2.039,,"47.56424, -1.61789"
Bretagne,Finistère,29700 Pluguffan,1.898,,,,1.818,1.932,"47.98, -4.182"
Occitanie,Hérault,34475 Pérols,1.964,,,0.989,1.895,1.993,"43.570766061867, 3.941656704366"
Pays de la Loire,Loire-Atlantique,44130 Blain,1.989,,,,1.936,1.99,"47.477, -1.762"
Auvergne-Rhône-Alpes,Savoie,73610 Saint-Alban-de-Montbel,2.026,,,,2.206,2.124,"45.544, 5.763"
Centre-Val de Loire,Cher,18520 Avord,1.929,,0.998,,1.915,1.988,"47.032, 2.642"
Provence-Alpes-Côte d'Azur,Var,83130 La Valette-du-Var,1.912,1.925,0.999,,1.875,,"43.136590241, 5.99372388916"
Hauts-de-France,Somme,80600 Doullens,1.99,,,,1.953,,"50.162, 2.355"
Pays de la Loire,Loire-Atlantique,44370 Loireauxence,1.99,1.99,1.239,,1.99,1.99,"47.418, -1.018"
Nouvelle-Aquitaine,Charente,16800 Soyaux,1.837,1.865,0.953,,1.825,1.885,"45.639, 0.219"
Bourgogne-Franche-Comté,Saône-et-Loire,71960 Prissé,1.939,1.939,1.079,,1.879,1.969,"46.328, 4.742"
Normandie,Calvados,14880 Colleville-Montgomery,1.918,,,,1.913,1.984,"49.29, -0.284"
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13680 Lançon-Provence,1.969,,0.999,,1.962,2.049,"43.594, 5.128"
Provence-Alpes-Côte d'Azur,Var,83270 Saint-Cyr-sur-Mer,1.979,,,,1.999,2.049,"43.1809050761, 5.71030196549"
Auvergne-Rhône-Alpes,Allier,3410 Domérat,1.907,1.877,,0.955,1.835,1.922,"46.36701, 2.56526"
Centre-Val de Loire,Loiret,45200 Amilly,1.89,1.902,0.977,,1.852,1.954,"47.978, 2.733"
Occitanie,Tarn,81230 Lacaune,,,,,,,"43.71199862700001, 2.70899259683"
Provence-Alpes-Côte d'Azur,Alpes-Maritimes,6550 La Roquette-sur-Siagne,1.925,,0.998,,1.895,1.985,"43.576, 6.952"
Bretagne,Finistère,29770 Audierne,1.891,1.878,,,1.809,1.919,"48.028807028900005, -4.55726292638"
Bretagne,Morbihan,56870 Baden,1.869,1.939,,,1.839,1.959,"47.621, -2.916"
Occitanie,Hérault,34350 Vendres,1.959,1.949,,0.999,1.939,,"43.295950136900004, 3.21755178874"
Auvergne-Rhône-Alpes,Ain,1340 Malafretaz,1.99,,,,1.977,1.99,"46.323, 5.137"
Occitanie,Haute-Garonne,31820 Pibrac,1.935,1.889,,,1.959,1.999,"43.60785, 1.28404"
Auvergne-Rhône-Alpes,Drôme,26730 Eymeux,1.99,,,,1.977,1.99,"45.056, 5.192"
Centre-Val de Loire,Indre-et-Loire,37400 Amboise,1.92,,,,1.912,,"47.409, 0.971"
Hauts-de-France,Nord,59470 Wormhout,1.919,,1.099,,1.909,1.979,"50.891, 2.463"
Nouvelle-Aquitaine,Pyrénées-Atlantiques,64110 Jurançon,1.99,,,,1.943,1.99,"43.28, -0.388"
Grand Est,Bas-Rhin,67840 Kilstett,1.99,,,,1.951,1.99,"48.677, 7.849"
Bourgogne-Franche-Comté,Doubs,25720 Beure,1.929,,,0.969,1.929,2.029,"47.207, 5.999"
Normandie,Manche,50180 Agneaux,1.969,,,,1.979,2.059,"49.113072609687, -1.1254249743294"
